id;titulo;autor;totalExemplares;exemplaresDisponiveis
352;DOM QUIXOTE;CERVANTES, Miguel de;4;4
353;CRONISTAS DO DESCOBRIMENTO;OLIVIERI, Antonio Carlos e VILLA, Marco Antonio (org.);1;1
354;TREM CHEGOU, TREM JÁ VAI;ARAGĂO, José Carlos;1;1
355;SE TUDO ISTO ACONTECESSE;JOSÉ, Elias;1;1
356;CASAMENTO DE CARLA E CLÁUDIO, O;TASSIS, Yana;1;1
357;CIRCO, O;ZIGG, Ivan;1;1
358;BRINCALIQUES QUASE TRAVALÍNGUAS;BELINKY, Tatiana;1;1
359;BAGUNCEIROS NA TERRA DOS FUTRIQUEIROS, OS;CORNUEL, Pierre;1;1
360;QUEM TEM MEDO DE QUĘ?;ROCHA, Ruth;1;1
361;TUDO BEM SER DIFERENTE;PARR, Todd;1;1
362;BELELÉU;DUGNANI, Patrício;1;1
363;CĂO DOS BASKERVILLES, O;DOYLE, Sir Arthur Conan;1;1
364;ÚLTIMO CAVALEIRO ANDANTE, O;EISNER, Will;1;1
365;AMANTES DO LAGO ROTORUA, OS;BARBOSA, Rogério Andrade;1;1
366;SEGREDO DA CHUVA, O;MUNDURUKU, Daniel;1;1
367;PUBLICIDADE E PROPAGANDA: O VÍDEO NAS AULAS DE LÍNGUA ESTRANGEIRA;FERNÁNDEZ, Gretel Eres (org.);1;1
368;ATIVIDADES PARA AULAS DE CIĘNCIAS: Ensino Fundamental 6o. Ao 9o. Ano;GUIMARĂES, Luciana Ribeiro;1;1
369;ENSINAR HISTÓRIA;SCHMIDT, Maria Auxiliadora e CAINELLI, Marlene;1;1
370;JOGOS TEATRAIS NA ESCOLA: Atividades globais de expressăo;REVERBEL, Olga Garcia;1;1
371;ENSINAR HISTÓRIA;SCHMIDT, Maria Auxiliadora e CAINELLI, Marlene;1;1
372;METODOLOGIA DO ENSINO DE LÍNGUA PORTUGUESA;GOMES, Maria Lúcia de Castro;1;1
373;METODOLOGIA DO ENSINO DE EDUCAÇĂO FÍSICA;CASTELLANI FILHO, Lino;1;1
374;PARA ENSINAR E APRENDER GEOGRAFIA;PONTUSCHKA, Nídia Nacib et al.;1;1
375;INICIAÇĂO AO ESTUDO DIDÁTICO DA ÁLGEBRA: ORIGENS E PERSPECTIVA;SESSA, Carmen;1;1
376;SABER E ENSINAR ARTE CONTEMPORÂNEA;SANT´ANNA, Renata;1;1
377;SEMÂNTICA PARA EDUCAÇĂO BÁSICA;FERRAREZI JR., Celso;1;1
378;VOCĘ JÁ ESCUTOU O SILĘNCIO?;SPINELLI, Alexandre;1;1
379;ILÍADA;HOMERO e CARVALHO, Bruno Berlendis de (adap.);1;1
380;SINAIS DO MAR;MACHADO, Ana Maria;1;1
381;MULHER QUE SUBIU AO CÉU, A;SILVA, Célia Cris;1;1
382;QUATRO ESTAÇŐES E OUTROS HAICAIS, AS;SIMIZO, Massau;1;1
383;TENHO UM ABRAÇO PARA TE DAR;PROTETI, Joăo;1;1
384;MENINO DE SUA MĂE, O;PESSOA, Fernando;1;1
385;LUZ DA LUA;LISBOA, Henriqueta;1;1
386;POESIA MATEMÁTICA;FERNANDES, Millôr;1;1
387;COMPARSAS DO RIO;MENDONÇA, Bernardo de;1;1
388;ALICE NO PAÍS DA POESIA;JOSÉ, Elias;1;1
389;MERCADOR DE VENEZA, O;SHAKESPEARE, William;1;1
390;VERSO A CADA PASSO: a poesia na estrada real, UM;SOUZA, Angela Leide de;1;1
391;FANTASMA DA ÓPERA, O;LEROUX, Gaston;1;1
392;CHUVA DE LETRAS;BRANDĂO, Luis Alberto;1;1
393;ROBINSON CRUSOÉ;DEFOE, Daniel;1;1
394;VIAGENS DE GULLIVER;SWIFT, Jonathan;1;1
395;ODISSEIA;HOMERO e LIMA, Edy (adap.);1;1
396;HISTÓRIAS DE TIA NASTÁCIA;LOBATO, Monteiro;1;1
397;ANABELA PROCURA E ACHA MAIS DO QUE PROCURA;SAVARY, Flávia;1;1
398;REDE PARA IEMANJÁ, UMA;CALLADO, Antonio;1;1
399;ASSASSINATO NA LITERATURA INFANTIL: uma aventura da turma do gordo;MARINHO, Joăo Carlos;1;1
